Color,RGB,Hex
Black,20 12 28,140C1C
Dark Red,68 36 52,442434
Dark Blue,48 52 109,30346D
Dark Gray,78 74 78,4E4A4F
Brown,133 76 48,854C30
Dark Green,52 101 36,346524
Red,208 70 72,D04648
Light Gray,117 113 97,757161
Light Blue,89 125 206,597DCE
Orange,210 125 44,D27D2C
Blue/Gray,133 149 161,8595A1
Light Green,109 170 44,6DAA2C
Peach,210 170 153,D2AA99
Cyan,109 194 202,6DC2CA
Yellow,218 212 94,DAD45E
White,222 238 214,DEEED6
