Color,RGB,Hex
black,0 0 0,000000
violet,85 65 95,55415F
gray,100 105 100,646964
red,215 115 85,D77355
blue,80 140 215,508CD7
green,100 185 100,64B964
yellow,230 200 110,E6C86E
white,220 245 255,DCF5FF
